RestName,Cuisine,foodType,IMcCd,MenuCatg,CTypUsedFor,ItemNm,ItemTyp,NV,Section,PckCharge,Rate,Rank,ItmDesc,Ingeredients,MaxQty,Rmks,PrepTime,Day,FrmTime,ToTime,AltFrmTime,AltToTime,videoLink,itemPortion
Vijay New Dhaba,Mexican - Italian,Veg,0,Soup,Food,Tortilla Soup Veg,Std,125,AC,25,250,1,Tortilla Soup is the Mexican version of tomato soup?seasoning with cheese and tacos,-,0,-,5,Sunday,0:00:00,23:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Soup,Food,Roasted Bell Pepper Tomato Soup,Std,125,AC,25,270,3,Tomato broth soup with roasted bell pepper with chefs spices ,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Soup,Food,Mushroom Cappuccino,Std,125,AC,25,270,4,The earthy flavours  of mushrooms and nutmeg soup with frothed cream,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Soup,Food,Broccoli Halloumi Cheese Soup,Std,125,AC,25,270,5,Fresh broccoli broth cheese soup,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Soup,Food,Mexicano Soup Veg,Std,125,AC,25,250,6,"The Mexicano soup?is traditionally made with carrots, zucchini, spinach and corn,?cooked with tomato sauce",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Soup,Food,Tomato Basil Soup,Std,125,AC,25,240,9,Homemade tomato basil soup is? tomato puree?mixture along with the?basil?leaves,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Nachos with Salsa,Cold Beverages,125,AC,25,225,18,Nachos with your choice sauce ,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Classic Nachos Veg,Std,125,AC,25,300,19,"Baked nachos topping with fresh tomato salsa, Mexican bean sauce, cheese, sour cream to enhance the flavour of classic nachos",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Mexican Skin Veg,Std,125,AC,25,300,21,Roasted potato stuffed with saut?ed vegetables baked with yellow cheddar cheese served with salsa and sour cream,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Tacos Veg,Std,125,AC,25,340,23,"Mexican tacos wraps with beans, vegetables and served with cheese, salsa and sour cream.",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Grilled Paneer  Peri Peri,Std,125,AC,25,370,26,Grilled cottage cheese tossed in spicy peri peri sauce,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Baked Mushroom,Std,125,AC,25,370,28,Roasted Mushrooms stuffed with vegetable and cheese is an impressive side dish thats totally mouth-watering,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Corn Spinach Snow Ball,Std,125,AC,25,350,29,"Corn kernels and healthy spinach bound together by cheese coated with batter and bread crumbs, and deep-fried till crisp",-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Jalapeno Poppers,Std,125,AC,25,350,30,Jalapenos and peppers chopped and mixed with cheese coated with bread crumbs and deep fried,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Garlic Bread,Std,125,AC,25,190,31,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
Vijay New Dhaba,Mexican - Italian,Veg,0,Starters,Food,Garlic Bread with Cheese,Std,125,AC,25,220,32,-,-,0,-,5,Sunday,0:00:00,24:00:00,0:00:00,0:00:00,NULL,Std
