RestName,ItemName,PortionName,Section,ItmRate
"TQ Sunrise","Tortilla Soup Veg",Std,Std,250
"TQ Sunrise","Tortilla Soup Chicken",Std,Std,290
"TQ Sunrise","Roasted Bell Pepper Tomato Soup",Std,Std,270
"TQ Sunrise","Mushroom Cappuccino",Std,Std,270
"TQ Sunrise","Broccoli Halloumi Cheese Soup",Std,Std,270
"TQ Sunrise","Mexicano Soup Veg",Std,Std,250
"TQ Sunrise","Mexicano Soup Chicken",Std,Std,280
"TQ Sunrise","Mexicano Soup Prawn",Std,Std,320
"TQ Sunrise","Tomato Basil Soup",Std,Std,240
"TQ Sunrise","Caesar Salad Veg",Std,Std,270
"TQ Sunrise","Caesar Salad Chicken",Std,Std,280
"TQ Sunrise","Greek Salad",Std,Std,280
"TQ Sunrise","Mexican Nachos Salad",Std,Std,270
"TQ Sunrise","Roast Chicken Salad",Std,Std,300
"TQ Sunrise","Pasta Salad Veg",Std,Std,280
"TQ Sunrise","Pasta Salad Chicken",Std,Std,320
"TQ Sunrise","Seafood Salad",Std,Std,410
"TQ Sunrise","Nachos with Salsa",Std,Std,225
"TQ Sunrise","Classic Nachos Veg",Std,Std,300
"TQ Sunrise","Classic Nachos Chicken",Std,Std,370
"TQ Sunrise","Mexican Skin Veg",Std,Std,300
"TQ Sunrise","Mexican Skin Chicken",Std,Std,370
"TQ Sunrise","Tacos Veg",Std,Std,340
"TQ Sunrise","Tacos Chicken",Std,Std,370
"TQ Sunrise","Tacos Prawns",Std,Std,470
"TQ Sunrise","Grilled Paneer  Peri Peri",Std,Std,370
"TQ Sunrise","Grilled Chicken Peri Peri",Std,Std,410
"TQ Sunrise","Baked Mushroom",Std,Std,370
"TQ Sunrise","Corn Spinach Snow Ball",Std,Std,350
"TQ Sunrise","Jalapeno Poppers",Std,Std,350
"TQ Sunrise","Garlic Bread with Cheese",Std,Std,220
"TQ Sunrise","French Fries",Std,Std,160
"TQ Sunrise","Loaded Fries ",Std,Std,240
"TQ Sunrise","Tequila Sunrise Bruschetta Veg",Std,Std,210
"TQ Sunrise","Tequila Sunrise Bruschetta Chicken",Std,Std,250
